Sample	Unique Unpaired	Duplicate Unpaired	Unmapped
WT_H3K27ac_ChIPseq_REP1	15915088.0	4103818.0	336335.0
WT_H3K27ac_ChIPseq_REP2	22687491.0	6917899.0	429954.0
WT_H3K27ac_ChIPseq_REP3	15514158.0	3854597.0	47444.0
WT_H3K27ac_input_REP1	104817655.0	13367979.0	6748180.0
WT_H3K27ac_input_REP2	105352189.0	12766454.0	7005970.0
WT_H3K27ac_input_REP3	17744717.0	1768269.0	87086.0
cKO_H3K27ac_ChIPseq_REP1	14178280.0	4507185.0	434696.0
cKO_H3K27ac_ChIPseq_REP2	14895110.0	3859094.0	562102.0
cKO_H3K27ac_ChIPseq_REP3	17861027.0	4778878.0	61425.0
cKO_H3K27ac_input_REP1	47573344.0	4322421.0	3321726.0
cKO_H3K27ac_input_REP2	46670082.0	4199331.0	2956839.0
cKO_H3K27ac_input_REP3	21016543.0	2102629.0	99589.0
