Sample	raw_total_sequences	filtered_sequences	sequences	is_sorted	1st_fragments	last_fragments	reads_mapped	reads_mapped_and_paired	reads_unmapped	reads_properly_paired	reads_paired	reads_duplicated	reads_MQ0	reads_QC_failed	non-primary_alignments	supplementary_alignments	total_length	total_first_fragment_length	total_last_fragment_length	bases_mapped	bases_mapped_(cigar)	bases_trimmed	bases_duplicated	mismatches	error_rate	average_length	average_first_fragment_length	average_last_fragment_length	maximum_length	maximum_first_fragment_length	maximum_last_fragment_length	average_quality	insert_size_average	insert_size_standard_deviation	inward_oriented_pairs	outward_oriented_pairs	pairs_with_other_orientation	pairs_on_different_chromosomes	percentage_of_properly_paired_reads_(%)	reads_mapped_percent	reads_mapped_and_paired_percent	reads_unmapped_percent	reads_properly_paired_percent	reads_paired_percent	reads_duplicated_percent	reads_MQ0_percent	reads_QC_failed_percent
WT_H3K27ac_ChIPseq_REP1_T1	3441876.0	0.0	3441876.0	1.0	3441876.0	0.0	3245311.0	0.0	196565.0	0.0	0.0	0.0	2300.0	0.0	0.0	0.0	170169407.0	170169407.0	0.0	160467510.0	159921798.0	0.0	0.0	574771.0	0.003594076	49.0	49.0	0.0	50.0	50.0	0.0	36.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.28901564146994	0.0	5.710984358530057	0.0	0.0	0.0	0.06682402271319478	0.0
WT_H3K27ac_ChIPseq_REP1_T2	471827.0	0.0	471827.0	1.0	471827.0	0.0	358808.0	0.0	113019.0	0.0	0.0	0.0	1858.0	0.0	0.0	0.0	23306741.0	23306741.0	0.0	17747509.0	17300624.0	0.0	0.0	452120.0	0.02613316	49.0	49.0	0.0	50.0	50.0	0.0	33.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.04651704968136	0.0	23.953482950318655	0.0	0.0	0.0	0.3937884012572405	0.0
WT_H3K27ac_ChIPseq_REP1_T3	16441538.0	0.0	16441538.0	1.0	16441538.0	0.0	16414787.0	0.0	26751.0	0.0	0.0	0.0	8895.0	0.0	0.0	0.0	813994988.0	813994988.0	0.0	812681902.0	811784215.0	0.0	0.0	1169941.0	0.001441197	49.0	50.0	0.0	50.0	50.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.83729624321033	0.0	0.16270375678966287	0.0	0.0	0.0	0.05410077816321077	0.0
WT_H3K27ac_ChIPseq_REP2_T1	3496472.0	0.0	3496472.0	1.0	3496472.0	0.0	3249175.0	0.0	247297.0	0.0	0.0	0.0	2084.0	0.0	0.0	0.0	172878586.0	172878586.0	0.0	160664557.0	160136918.0	0.0	0.0	530665.0	0.003313821	49.0	49.0	0.0	50.0	50.0	0.0	36.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.92724208859673	0.0	7.072757911403266	0.0	0.0	0.0	0.059602936903255625	0.0
WT_H3K27ac_ChIPseq_REP2_T2	559198.0	0.0	559198.0	1.0	559198.0	0.0	420451.0	0.0	138747.0	0.0	0.0	0.0	2151.0	0.0	0.0	0.0	27605183.0	27605183.0	0.0	20781731.0	20259957.0	0.0	0.0	532371.0	0.02627701	49.0	49.0	0.0	50.0	50.0	0.0	33.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.18821598074385	0.0	24.81178401925615	0.0	0.0	0.0	0.3846580281045354	0.0
WT_H3K27ac_ChIPseq_REP2_T3	25979674.0	0.0	25979674.0	1.0	25979674.0	0.0	25935764.0	0.0	43910.0	0.0	0.0	0.0	13490.0	0.0	0.0	0.0	1286199809.0	1286199809.0	0.0	1284044217.0	1282650552.0	0.0	0.0	1870506.0	0.001458313	49.0	50.0	0.0	50.0	50.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.83098325252271	0.0	0.16901674747727782	0.0	0.0	0.0	0.05192520891524659	0.0
WT_H3K27ac_ChIPseq_REP3_T1	19416199.0	0.0	19416199.0	1.0	19416199.0	0.0	19368755.0	0.0	47444.0	0.0	0.0	0.0	13815.0	0.0	0.0	0.0	961278999.0	961278999.0	0.0	958943414.0	957835820.0	0.0	0.0	1420777.0	0.00148332	49.0	50.0	0.0	50.0	50.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.75564733344564	0.0	0.24435266655435497	0.0	0.0	0.0	0.07115192834601665	0.0
WT_H3K27ac_input_REP1_T1	82291587.0	0.0	82291587.0	1.0	82291587.0	0.0	77657341.0	0.0	4634246.0	0.0	0.0	0.0	219547.0	0.0	0.0	0.0	4065726226.0	4065726226.0	0.0	3836999082.0	3820385727.0	0.0	0.0	15581979.0	0.00407864	49.0	49.0	0.0	50.0	50.0	0.0	36.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.3685057380167	0.0	5.631494261983306	0.0	0.0	0.0	0.2667915494204772	0.0
WT_H3K27ac_input_REP1_T2	42642227.0	0.0	42642227.0	1.0	42642227.0	0.0	40528293.0	0.0	2113934.0	0.0	0.0	0.0	109789.0	0.0	0.0	0.0	2106735030.0	2106735030.0	0.0	2002399985.0	1993910827.0	0.0	0.0	6958237.0	0.003489743	49.0	49.0	0.0	50.0	50.0	0.0	36.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	95.04262758134091	0.0	4.957372418659091	0.0	0.0	0.0	0.25746544616443223	0.0
WT_H3K27ac_input_REP2_T1	82004276.0	0.0	82004276.0	1.0	82004276.0	0.0	77251090.0	0.0	4753186.0	0.0	0.0	0.0	200287.0	0.0	0.0	0.0	4051911925.0	4051911925.0	0.0	3817259508.0	3801263204.0	0.0	0.0	14974652.0	0.003939388	49.0	49.0	0.0	50.0	50.0	0.0	36.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.20373396138514	0.0	5.796266038614864	0.0	0.0	0.0	0.2442397028174482	0.0
WT_H3K27ac_input_REP2_T2	43120337.0	0.0	43120337.0	1.0	43120337.0	0.0	40867553.0	0.0	2252784.0	0.0	0.0	0.0	99703.0	0.0	0.0	0.0	2130552032.0	2130552032.0	0.0	2019321396.0	2011058431.0	0.0	0.0	6609497.0	0.003286576	49.0	49.0	0.0	50.0	50.0	0.0	36.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.77558814069566	0.0	5.224411859304346	0.0	0.0	0.0	0.23122036360708406	0.0
WT_H3K27ac_input_REP3_T1	19600072.0	0.0	19600072.0	1.0	19600072.0	0.0	19512986.0	0.0	87086.0	0.0	0.0	0.0	72730.0	0.0	0.0	0.0	969448164.0	969448164.0	0.0	965154647.0	962610947.0	0.0	0.0	3171510.0	0.003294696	49.0	49.0	0.0	50.0	50.0	0.0	39.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.55568530564581	0.0	0.444314694354184	0.0	0.0	0.0	0.3710700654569024	0.0
cKO_H3K27ac_ChIPseq_REP1_T1	3283010.0	0.0	3283010.0	1.0	3283010.0	0.0	3003193.0	0.0	279817.0	0.0	0.0	0.0	2336.0	0.0	0.0	0.0	162328121.0	162328121.0	0.0	148509923.0	147942055.0	0.0	0.0	687624.0	0.004647928	49.0	49.0	0.0	50.0	50.0	0.0	36.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	91.47681548335217	0.0	8.523184516647833	0.0	0.0	0.0	0.07115421518667321	0.0
cKO_H3K27ac_ChIPseq_REP1_T2	459497.0	0.0	459497.0	1.0	459497.0	0.0	333442.0	0.0	126055.0	0.0	0.0	0.0	1775.0	0.0	0.0	0.0	22700479.0	22700479.0	0.0	16493724.0	16085281.0	0.0	0.0	424191.0	0.02637138	49.0	49.0	0.0	50.0	50.0	0.0	33.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.56674145859495	0.0	27.43325854140506	0.0	0.0	0.0	0.3862919670857481	0.0
cKO_H3K27ac_ChIPseq_REP1_T3	15377654.0	0.0	15377654.0	1.0	15377654.0	0.0	15348830.0	0.0	28824.0	0.0	0.0	0.0	7632.0	0.0	0.0	0.0	761415599.0	761415599.0	0.0	759999007.0	759167792.0	0.0	0.0	1037661.0	0.00136684	49.0	50.0	0.0	50.0	50.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.81255918490558	0.0	0.1874408150944221	0.0	0.0	0.0	0.04963045728561717	0.0
cKO_H3K27ac_ChIPseq_REP2_T1	5800548.0	0.0	5800548.0	1.0	5800548.0	0.0	5399103.0	0.0	401445.0	0.0	0.0	0.0	3862.0	0.0	0.0	0.0	286801248.0	286801248.0	0.0	266976620.0	266089613.0	0.0	0.0	898239.0	0.003375701	49.0	49.0	0.0	50.0	50.0	0.0	36.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.07918838013236	0.0	6.9208116198676395	0.0	0.0	0.0	0.06657991624239641	0.0
cKO_H3K27ac_ChIPseq_REP2_T2	532409.0	0.0	532409.0	1.0	532409.0	0.0	396407.0	0.0	136002.0	0.0	0.0	0.0	2089.0	0.0	0.0	0.0	26304050.0	26304050.0	0.0	19609427.0	19119135.0	0.0	0.0	496946.0	0.02599207	49.0	49.0	0.0	50.0	50.0	0.0	33.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	74.45535293355296	0.0	25.544647066447034	0.0	0.0	0.0	0.39236752196149954	0.0
cKO_H3K27ac_ChIPseq_REP2_T3	12983349.0	0.0	12983349.0	1.0	12983349.0	0.0	12958694.0	0.0	24655.0	0.0	0.0	0.0	6497.0	0.0	0.0	0.0	642847668.0	642847668.0	0.0	641636929.0	640924245.0	0.0	0.0	948987.0	0.001480654	49.0	50.0	0.0	50.0	50.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.8101029249079	0.0	0.1898970750921045	0.0	0.0	0.0	0.050041017922263356	0.0
cKO_H3K27ac_ChIPseq_REP3_T1	22701330.0	0.0	22701330.0	1.0	22701330.0	0.0	22639905.0	0.0	61425.0	0.0	0.0	0.0	11027.0	0.0	0.0	0.0	1123965268.0	1123965268.0	0.0	1120938052.0	1119612259.0	0.0	0.0	1642266.0	0.001466817	49.0	50.0	0.0	50.0	50.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.72942113964248	0.0	0.27057886035752093	0.0	0.0	0.0	0.04857424653093013	0.0
cKO_H3K27ac_input_REP1_T1	26642711.0	0.0	26642711.0	1.0	26642711.0	0.0	24916371.0	0.0	1726340.0	0.0	0.0	0.0	66849.0	0.0	0.0	0.0	1316379534.0	1316379534.0	0.0	1231140596.0	1225939664.0	0.0	0.0	4904570.0	0.004000661	49.0	49.0	0.0	50.0	50.0	0.0	36.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.52040413605057	0.0	6.479595863949431	0.0	0.0	0.0	0.2509091510995259	0.0
cKO_H3K27ac_input_REP1_T2	28574780.0	0.0	28574780.0	1.0	28574780.0	0.0	26979394.0	0.0	1595386.0	0.0	0.0	0.0	68680.0	0.0	0.0	0.0	1411824332.0	1411824332.0	0.0	1333052163.0	1327598222.0	0.0	0.0	4427226.0	0.003334763	49.0	49.0	0.0	50.0	50.0	0.0	36.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.41680390890149	0.0	5.583196091098515	0.0	0.0	0.0	0.24035180673307022	0.0
cKO_H3K27ac_input_REP2_T1	27081295.0	0.0	27081295.0	1.0	27081295.0	0.0	25484150.0	0.0	1597145.0	0.0	0.0	0.0	67962.0	0.0	0.0	0.0	1338153674.0	1338153674.0	0.0	1259300216.0	1253994133.0	0.0	0.0	4954401.0	0.003950897	49.0	49.0	0.0	50.0	50.0	0.0	36.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.10240536872406	0.0	5.8975946312759415	0.0	0.0	0.0	0.2509555026818326	0.0
cKO_H3K27ac_input_REP2_T2	26744957.0	0.0	26744957.0	1.0	26744957.0	0.0	25385263.0	0.0	1359694.0	0.0	0.0	0.0	65442.0	0.0	0.0	0.0	1321471980.0	1321471980.0	0.0	1254345036.0	1249138460.0	0.0	0.0	4181875.0	0.003347808	49.0	49.0	0.0	50.0	50.0	0.0	36.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.91607333674158	0.0	5.083926663258423	0.0	0.0	0.0	0.2446891202704121	0.0
