pathway,padj,NES,database,analysis,genes,comparison
GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS,0.07142282540253585,5.467658473479948,c5.go.bp,ORA,",SULT1A1,SULT1A2,SULT1C3,SULT2B1",sample_type_normal_vs_tumor
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,0.9815773732350944,1.286507876112929,c5.go.bp,ORA,ACAT1,sample_type_normal_vs_tumor
GOBP_ACETYL_COA_METABOLIC_PROCESS,0.90370640092126,1.4110086383174059,c5.go.bp,ORA,"ACAT1,PIPOX",sample_type_normal_vs_tumor
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,0.23075517874391357,2.475920818179599,c5.go.bp,ORA,"ABCC8,GIPC1,SLC12A2,SLC6A6,SLC7A11,STXBP1",sample_type_normal_vs_tumor
GOBP_ACID_SECRETION,1,0.6248752541119941,c5.go.bp,ORA,DRD2,sample_type_normal_vs_tumor
GOBP_ACROSOME_ASSEMBLY,0.9824172342376005,1.2150352163288773,c5.go.bp,ORA,SPINK2,sample_type_normal_vs_tumor
GOBP_ACROSOME_REACTION,0.23047263183013178,3.2400939102103394,c5.go.bp,ORA,"PLA2G10,PLCB1,STX2,STXBP1",sample_type_normal_vs_tumor
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,0.5838173295634973,1.5083195788910202,c5.go.bp,ORA,"ABCC9,GPD1L,GSN,MYH10,NEDD4L,PDPN,RYR2,SRI",sample_type_normal_vs_tumor
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,0.9901548374289101,0.9751238041875067,c5.go.bp,ORA,"ACTN1,FMN2,FSCN1,MYOC,PLS1,RHPN1,SERPINF2",sample_type_normal_vs_tumor
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,0.932252982153101,1.2379604090897995,c5.go.bp,ORA,"CRACD,GSN,SPTBN2",sample_type_normal_vs_tumor
GOBP_ACTIN_FILAMENT_ORGANIZATION,1,0.9306652720816933,c5.go.bp,ORA,"ACTN1,CNN2,CRACD,CSF3,FMN2,FSCN1,GSN,MAD2L2,MYOC,NEBL,NOSTRIN,PLS1,PROX1,RHPN1,SERPINF2,SHROOM4,SPTBN2,WASF1",sample_type_normal_vs_tumor
GOBP_ACTIN_FILAMENT_SEVERING,0.9746562420558721,1.366914618369987,c5.go.bp,ORA,GSN,sample_type_normal_vs_tumor
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,0.5275245106589902,1.6640699701895496,c5.go.bp,ORA,"ABCC9,GPD1L,GSN,NEDD4L,PDPN,RYR2,SRI",sample_type_normal_vs_tumor
GOBP_ACTIN_NUCLEATION,1,0.8411782266892228,c5.go.bp,ORA,"GSN,WASF1",sample_type_normal_vs_tumor
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,1,0.5943107036391247,c5.go.bp,ORA,"CRACD,CSF3,GSN,SPTBN2,WASF1",sample_type_normal_vs_tumor
GOBP_ACTION_POTENTIAL,0.8397655776679972,1.1960502910737387,c5.go.bp,ORA,"ABCC9,CD36,GPD1L,GPER1,NEDD4L,RYR2,SRI",sample_type_normal_vs_tumor
GOBP_ACTIVATED_T_CELL_PROLIFERATION,0.7744075429511621,1.525858178645567,c5.go.bp,ORA,"HHLA2,IL23A,TNFSF9",sample_type_normal_vs_tumor
