gene,I24C,I24N,I27C,I27N,I29C,I29N
ENSG00000000003,4498,2868,2596,1927,1957,3692
ENSG00000000005,14,22,19,17,1,14
ENSG00000000419,2199,1011,1528,872,916,1546
ENSG00000000457,551,767,324,407,555,570
ENSG00000000460,584,184,122,99,234,112
ENSG00000000938,149,117,106,71,218,41
ENSG00000000971,2317,2059,1052,2057,946,823
ENSG00000001036,2984,1604,1717,1421,1560,1493
ENSG00000001084,1526,1206,742,787,1423,435
ENSG00000001167,1422,770,491,584,717,397
ENSG00000001460,141,419,216,454,211,377
ENSG00000001461,618,1154,701,677,1052,775
ENSG00000001497,1476,547,992,487,858,466
ENSG00000001561,1207,1412,793,1108,694,1061
ENSG00000001617,531,222,280,135,960,106
ENSG00000001626,3643,6082,5794,6400,3113,4277
ENSG00000001629,1499,1218,833,939,1481,676
ENSG00000001630,2881,3547,2097,3141,2885,1237
ENSG00000001631,812,618,498,378,927,304
ENSG00000002016,170,380,79,91,294,170
ENSG00000002079,4,3,6,7,5,5
ENSG00000002330,457,1049,758,769,302,2180
ENSG00000002549,2079,6177,1818,2346,2535,2392
ENSG00000002586,3052,2858,1811,2221,2455,2125
ENSG00000002587,81,97,168,180,192,132
ENSG00000002726,2263,15600,6351,10354,3182,11710
ENSG00000002745,0,3,3,3,2,0
ENSG00000002746,23,13,4,12,13,20
ENSG00000002822,275,340,420,178,363,233
ENSG00000002834,7588,12193,6741,8537,6457,5442
ENSG00000002919,369,552,267,372,324,538
ENSG00000002933,3908,2813,4123,2287,3390,3675
ENSG00000003056,3322,2801,2963,2619,3031,2936
ENSG00000003096,378,191,403,133,253,155
ENSG00000003137,20,24,72,109,37,1
ENSG00000003147,1549,1059,819,839,1686,795
ENSG00000003249,392,21,115,30,261,85
ENSG00000003393,557,353,307,313,728,211
ENSG00000003400,487,3209,857,1450,1593,924
ENSG00000003402,2852,3658,1747,2130,3237,1546
ENSG00000003436,563,309,246,364,287,215
ENSG00000003509,490,299,269,201,338,223
ENSG00000003756,1544,2688,1294,1553,3733,1273
ENSG00000003987,2,6,2,14,2,10
ENSG00000003989,78,122,50,47,82,51
ENSG00000004059,2605,2256,1765,2032,2098,2618
ENSG00000004139,254,225,200,159,395,107
ENSG00000004142,1885,1353,1355,1470,1261,1608
ENSG00000004399,401,407,559,324,1810,179
ENSG00000004455,2897,3414,3104,3614,2944,4541
ENSG00000004468,16,671,217,265,453,378
ENSG00000004478,2448,2154,2488,2308,2637,1716
ENSG00000004487,2184,1060,1526,819,2278,1045
ENSG00000004534,1743,1606,1642,756,1958,629
ENSG00000004660,168,62,184,77,186,35
ENSG00000004700,1562,865,573,629,719,352
ENSG00000004766,905,906,503,606,893,808
ENSG00000004776,147,106,253,153,52,13
ENSG00000004777,70,78,74,54,288,9
ENSG00000004779,1147,1416,1389,1511,1190,3096
ENSG00000004799,292,2580,947,2433,703,534
ENSG00000004809,5,1,3,1,0,4
ENSG00000004838,0,1,8,2,4,6
ENSG00000004846,2,4,6,8,3,0
ENSG00000004848,0,21,4,5,115,15
ENSG00000004864,1087,1310,922,1357,714,715
ENSG00000004866,561,323,423,247,677,407
ENSG00000004897,1714,1418,831,866,1428,736
ENSG00000004939,0,2,0,0,0,0
ENSG00000004948,2,3,2,1,2,4
ENSG00000004961,865,889,903,738,624,1011
ENSG00000004975,420,386,229,316,496,180
ENSG00000005001,132,24,43,3,419,64
ENSG00000005007,2273,2047,2076,1512,2570,445
ENSG00000005020,1607,1916,980,1463,1503,814
ENSG00000005022,10217,21788,16321,16228,8633,32446
ENSG00000005059,316,365,115,133,374,205
ENSG00000005073,478,47,141,90,368,28
ENSG00000005075,1262,1103,855,811,769,2355
ENSG00000005100,699,300,349,282,669,77
ENSG00000005102,19,32,15,40,38,29
ENSG00000005108,43,20,50,54,43,9
ENSG00000005156,1065,468,344,367,1098,347
ENSG00000005175,925,597,626,382,884,462
ENSG00000005187,124,1038,403,740,528,1447
ENSG00000005189,131,140,33,43,146,89
ENSG00000005194,1012,697,749,504,811,981
ENSG00000005206,1187,1223,788,704,1614,246
ENSG00000005238,382,856,734,1360,397,643
ENSG00000005243,141,26,58,30,51,65
ENSG00000005249,93,661,274,409,354,241
ENSG00000005302,799,798,525,347,797,629
ENSG00000005339,1688,1498,887,1226,2243,155
ENSG00000005379,324,147,63,65,209,34
ENSG00000005381,13,0,2,1,4,0
ENSG00000005421,3,7,10,4,112,4
ENSG00000005436,478,332,165,303,367,282
ENSG00000005448,121,70,91,42,144,80
ENSG00000005469,199,346,509,681,116,161
ENSG00000005471,24,52,37,45,29,20
ENSG00000005483,1514,2825,1359,2184,2254,454
ENSG00000005486,730,900,799,664,1115,1158
ENSG00000005513,1,58,11,25,12,0
ENSG00000005700,2449,2101,1690,2329,2346,1298
ENSG00000005801,963,682,595,444,1010,563
ENSG00000005810,1786,1287,1916,712,1576,492
