gene_id	gene_name	DRX399598	DRX399599	DRX399600	DRX399601	DRX399602	DRX399603
ENSMUSG00000000001	Gnai3	2761	2784	2165	2630	2864	2886
ENSMUSG00000000003	Pbsn	0	0	0	0	3	0
ENSMUSG00000000028	Cdc45	202	341	206	225	274	290
ENSMUSG00000000031	H19	716.001	4411	25	91.001	2775	184
ENSMUSG00000000037	Scml2	0	4	0	1	3	6
ENSMUSG00000000049	Apoh	8	4	3	5	1	4
ENSMUSG00000000056	Narf	990	976	725	1622	694	1144
ENSMUSG00000000058	Cav2	2934	3747	1825	3949	2695	2958
ENSMUSG00000000078	Klf6	4466.001	3680	2532.001	3257	4362	6140
ENSMUSG00000000085	Scmh1	1328	1370	1180	898.001	1042.999	863
ENSMUSG00000000088	Cox5a	2789	2882	2274	2560	2280.999	2045
ENSMUSG00000000093	Tbx2	98	82	41	139	62	164
ENSMUSG00000000094	Tbx4	2	2	2	0	4	2
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	1326	4439	666	3234	8673	3135
ENSMUSG00000000125	Wnt3	0	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	235	217	126	201	373	529
ENSMUSG00000000127	Fer	478	617.999	482.999	453	473	556
ENSMUSG00000000131	Xpo6	1866.001	2143.999	1601	1618.001	1613.999	2065.001
ENSMUSG00000000134	Tfe3	1063.001	901	738	1050	936	1241.001
ENSMUSG00000000142	Axin2	6693	8005	10400	12352.001	5912	8540
ENSMUSG00000000148	Brat1	509.001	631	442	584	443.998	517
ENSMUSG00000000149	Gna12	1631	1975	1424	2287	1489	2075
ENSMUSG00000000154	Slc22a18	73	110.999	117.001	41	88.999	90.001
ENSMUSG00000000157	Itgb2l	0	0	1	0	1	1
ENSMUSG00000000159	Igsf5	111.59	124.444	157.629	10	35	65
ENSMUSG00000000167	Pih1d2	40	55	44.001	30	41	31
ENSMUSG00000000168	Dlat	1764	1817.999	1472	1485	1452	1359
ENSMUSG00000000171	Sdhd	3754	4064	3436	3821	3076	2885
ENSMUSG00000000182	Fgf23	4	5	1	4	3	4
ENSMUSG00000000183	Fgf6	0	2	0	0	0	0
ENSMUSG00000000184	Ccnd2	1080	1256.001	725	1383.999	1314	1529
ENSMUSG00000000194	Gpr107	2470	3212	2196	3014	2331.001	2698
ENSMUSG00000000197	Nalcn	0	0	0	0	2	0
ENSMUSG00000000202	Btbd17	1	15	4	0	30	1
ENSMUSG00000000204	Slfn4	8850.57	1887	2693.999	6823.62	4714	1767
ENSMUSG00000000214	Th	2	4	5	0	4	1
ENSMUSG00000000215	Ins2	0	0	0	0	0	0
ENSMUSG00000000216	Scnn1g	3	13	5	4	1	3
ENSMUSG00000000223	Drp2	36	35	6	25	36.001	41
ENSMUSG00000000244	Tspan32	1659	1861.001	1056	1307.002	1138.99	803
ENSMUSG00000000247	Lhx2	1	3	0	1	0	1
ENSMUSG00000000248	Clec2g	116	561.999	11	184	39	137
ENSMUSG00000000253	Gmpr	92	107	60	58	68	71
ENSMUSG00000000263	Glra1	0	0	0	0	0	0
ENSMUSG00000000266	Mid2	627.001	689.999	597	856	399.999	667
ENSMUSG00000000275	Trim25	6841	4662	7227	5779	4855	4801
ENSMUSG00000000276	Dgke	341	417.001	372	457.999	423	461
ENSMUSG00000000278	Scpep1	858	778	636	842	1019	1219
ENSMUSG00000000282	Mnt	692	668	570	782	718	901
ENSMUSG00000000290	Itgb2	817	684	588.999	809	1061	1427
ENSMUSG00000000295	Hddc2	168	180	125	166	157	126
ENSMUSG00000000296	Tpd52l1	3	7	3	0	13	1
ENSMUSG00000000301	Pemt	34	37	20.001	21	36.001	21
ENSMUSG00000000303	Cdh1	9581	14107	10063	10547	11880	8295
ENSMUSG00000000305	Cdh4	2	1	2	2	2	4
ENSMUSG00000000308	Ckmt1	3478	4593.001	2966.999	6174.999	3426	1819
ENSMUSG00000000317	Bcl6b	226	132	141	176	185	357
ENSMUSG00000000318	Clec10a	135.41	163.794	25	105.834	212	573.491
ENSMUSG00000000320	Alox12	25	29	17	149	26	111
ENSMUSG00000000325	Arvcf	141	259	106	166.001	150	150
ENSMUSG00000000326	Comt	945	1390	896	1144.001	1108	1275.001
ENSMUSG00000000339	Rtca	480	487	408	500	443	442
ENSMUSG00000000340	Dbt	342	378	257	339	323	290
ENSMUSG00000000346	Dazap2	4429.196	5766.988	4079	3887.989	5355.982	4997
ENSMUSG00000000355	Mcts1	461	440	423	502.001	451.001	442
ENSMUSG00000000359	Rem1	25	33	25	69	24	44
ENSMUSG00000000365	Rnf17	4	4	1	2	2	1
ENSMUSG00000000374	Trappc10	1293.999	1628	1273	1327	1044	1175
ENSMUSG00000000378	Ccm2	1094	1102	790.999	939	1059	1151.999
ENSMUSG00000000381	Wap	0	0	0	0	0	0
ENSMUSG00000000384	Tbrg4	1214	1268	1036.001	907	1233	940
ENSMUSG00000000385	Tmprss2	3822	4100	5329	3430	2520	3191
ENSMUSG00000000386	Mx1	702.001	1130.663	746.477	1120.999	678.769	579.743
ENSMUSG00000000392	Fap	320.999	308	157	404	274	594
ENSMUSG00000000394	Gcg	2	0	1	0	2	0
ENSMUSG00000000399	Ndufa9	974.001	1212.001	821	916	944	908
ENSMUSG00000000402	Egfl6	17	6	39	8	5	29
ENSMUSG00000000409	Lck	59	45	58	58	71	128
ENSMUSG00000000411	Tssk3	0	0	0	0	0	0
ENSMUSG00000000416	Cttnbp2	34	33	19	32	12	38
ENSMUSG00000000420	Galnt1	7753	12529.999	7069	8934	10426.999	8365.999
ENSMUSG00000000435	Myf5	0	0	0	0	9	0
ENSMUSG00000000439	Mkrn2	469.871	520	405.113	522	443.007	610
ENSMUSG00000000440	Pparg	342	362	110	374	193	448
ENSMUSG00000000441	Raf1	2099.13	2230	1629.888	2206.999	1916.943	1938
ENSMUSG00000000486	Sept1	94	128.999	71.999	77	96	144.999
ENSMUSG00000000489	Pdgfb	1474.999	1538	1254	1302	1376	2096.001
ENSMUSG00000000530	Acvrl1	414	341	231	437	370	690
ENSMUSG00000000531	Grasp	1237	1345	933	572	990	1192
ENSMUSG00000000532	Acvr1b	1231	1227	1256	1121	1033	1251
ENSMUSG00000000538	Tom1l2	1130	1110.999	851	1261.999	1003	1158.001
ENSMUSG00000000544	Gpa33	3019	3127.999	2996	2801.001	3447.001	2643
ENSMUSG00000000552	Zfp385a	312	324	175	286	350	426
ENSMUSG00000000555	Itga5	2340	1624	1212	1887	2247	3839
ENSMUSG00000000560	Gabra2	0	0	0	0	0	0
ENSMUSG00000000561	Wdr77	1338.388	1337.068	1428.784	938.701	1029.036	1039.674
ENSMUSG00000000562	Adora3	12.999	16	19	18	23	29
ENSMUSG00000000563	Atp5f1	4130.831	4475.368	3581.875	4211.588	3572.755	3738.725
ENSMUSG00000000567	Sox9	3321	2983	2049	3371	2959	3242
ENSMUSG00000000568	Hnrnpd	1785.001	1843.999	1677.999	1878.999	2037	2345.997
ENSMUSG00000000579	Dynlt1c	175.301	249.678	149.542	136.19	152.111	137.717
ENSMUSG00000000581	C1d	529.999	553.001	353.001	581	558	605.999
ENSMUSG00000000594	Gm2a	1663	1217	1072	1631	1369	2111
ENSMUSG00000000600	Krit1	1130.001	1797	1163.999	1172	1152.999	981
ENSMUSG00000000605	Clcn4	1326.006	1542.999	941	1390.001	1566.999	1455
ENSMUSG00000000606	Vmn2r88	0	0	0	0	0	0
ENSMUSG00000000617	Grm6	7	0	0	2	1	1
ENSMUSG00000000627	Sema4f	301	76	35	124	78	273
ENSMUSG00000000628	Hk2	1229	1094	670	1399	1041	2521
ENSMUSG00000000631	Myo18a	3294.001	3126.001	3000	2884	3396.999	3369.001
ENSMUSG00000000632	Sez6	1	2	1	11	0	3
ENSMUSG00000000673	Haao	15	13	14	10	17	15
ENSMUSG00000000682	Cd52	569	545	461	565	669	820
ENSMUSG00000000686	Abhd15	70	74	48	61	72	66
ENSMUSG00000000690	Hoxb6	8	6	1	13	11	12
ENSMUSG00000000693	Loxl3	2098.996	1951.001	1082	1964.001	2399	3301
ENSMUSG00000000701	Tcl1b5	0	0	0	0	0	0
ENSMUSG00000000706	Btn1a1	52	32	36	30	65	23
ENSMUSG00000000708	Kat2b	1872	2202.998	1922.999	2492.999	1867.001	1809
ENSMUSG00000000711	Rab5b	1882.962	2160	1534	2030.878	1626.734	2279.882
ENSMUSG00000000724	Cryba1	0	0	0	0	0	0
ENSMUSG00000000730	Dnmt3l	9	1	0	7	3	9
ENSMUSG00000000731	Aire	30.999	6	4	2	20	3
ENSMUSG00000000732	Icosl	377.999	469	291	391	370.999	391.999
ENSMUSG00000000738	Spg7	1283	1660.999	1203	1151	1514.999	1178
ENSMUSG00000000739	Sult5a1	6.999	3	0	5	2	3
ENSMUSG00000000740	Rpl13	18093.493	21518.382	19231.046	13261.544	14579.945	17420.81
ENSMUSG00000000743	Chmp1a	1987	2490.999	1589	1815	2121.999	2276.998
ENSMUSG00000000751	Rpa1	1037.001	1016.999	897	887.001	1161	1004
ENSMUSG00000000753	Serpinf1	2586	2053	1026	2528	2438	4700
ENSMUSG00000000759	Tubgcp3	811.001	1096.999	765	837	1029	916.001
ENSMUSG00000000766	Oprm1	0	0	0	0	0	0
ENSMUSG00000000776	Polr3d	522.999	444	312.001	449	479	468
ENSMUSG00000000782	Tcf7	1179	897	701	839	1141	1047
ENSMUSG00000000787	Ddx3x	5435	6127	5364	5079	5793	5196.001
ENSMUSG00000000791	Il12rb1	42	25	45	35	29	50
ENSMUSG00000000792	Slc5a5	9	9	4	1	6	8
ENSMUSG00000000794	Kcnn3	6	21	2	2	16	3
ENSMUSG00000000804	Usp32	1688	1662	1582	1657	1372.999	1527
ENSMUSG00000000805	Car4	2	1	2	2	9	7
ENSMUSG00000000811	Txnrd3	181	255	196	179	137	131
ENSMUSG00000000817	Fasl	11	10	7	10	6	16
ENSMUSG00000000823	Zfp512b	391	625	362.001	470	439.001	492.999
ENSMUSG00000000826	Dnajc5	3392	4279	3102.001	4435	3008	3964.999
ENSMUSG00000000827	Tpd52l2	1368.999	1673.999	1145	1737.001	1237.001	1516
ENSMUSG00000000838	Fmr1	1346.003	1168	1072.999	1326	1420	1234.02
ENSMUSG00000000861	Bcl11a	6	15	2	12	9	8
ENSMUSG00000000869	Il4	0	0	0	0	0	0
ENSMUSG00000000876	Pxmp4	334	392	379	533	218	349
ENSMUSG00000000881	Dlg3	1020	994	699.999	992	896	872
ENSMUSG00000000884	Gnb1l	59	86	51	72.308	65	70.999
ENSMUSG00000000889	Dbh	0	1	0	0	0	0
ENSMUSG00000000901	Mmp11	156	136.001	120	330	136	230
ENSMUSG00000000902	Smarcb1	818	855.001	637	635.999	817.999	837.999
ENSMUSG00000000903	Vpreb3	0	0	0	0	1	2
ENSMUSG00000000915	Hip1r	2065	2603.454	1614.302	3399.746	1642	2544
ENSMUSG00000000916	Nsun5	318	325.999	323.999	294.001	223.001	234.001
ENSMUSG00000000934	Top1mt	153	193	187	121	126	130
ENSMUSG00000000938	Hoxa10	67	42.999	38	36	76	102
ENSMUSG00000000942	Hoxa4	15	8	3	4	7	16
ENSMUSG00000000948	Gm38393	2	2	1	1	0	1
ENSMUSG00000000957	Mmp14	4547	3546	2332	4304	3985	7891.999
ENSMUSG00000000958	Slc7a7	704	451	349.999	472	637.999	613.998
ENSMUSG00000000959	Oxa1l	871	731	707.001	684	780.001	664
ENSMUSG00000000976	Heatr6	599	636.001	551	610	678	574.999
ENSMUSG00000000982	Ccl3	180	58	82	72	67	233
ENSMUSG00000000983	Wfdc18	275	480	66	311	805	142
ENSMUSG00000001014	Icam4	38	21	18	17	19	27
ENSMUSG00000001016	Ilf2	1025	1058	742.999	747	934.001	982
ENSMUSG00000001017	Chtop	1789	1907	1463	1788	1786	1919
ENSMUSG00000001018	Snapin	917	1128	711.999	1062	940.001	1273
ENSMUSG00000001020	S100a4	94	119	56	123	126	233
ENSMUSG00000001021	S100a3	7	8	3	6	8	10
ENSMUSG00000001023	S100a5	0	0	0	0	2	0
ENSMUSG00000001025	S100a6	21305.999	19702	14692	17510	16296	25624.999
ENSMUSG00000001027	Scn4a	74	129	333	16	63	62
ENSMUSG00000001029	Icam2	149	134	93	119.999	129	210
ENSMUSG00000001034	Mapk7	496	426.001	314.001	382.001	414	557
ENSMUSG00000001036	Epn2	2071	1907	1512.001	1322	1999	2168
ENSMUSG00000001039	B9d1	97.999	80.999	58.999	62	108.999	101
ENSMUSG00000001052	Sec24b	1141	1135	852.999	1039.999	936	1295
ENSMUSG00000001053	N4bp3	4139	4589.001	2137	4564	3532.999	2949
ENSMUSG00000001054	Rmnd5b	687.001	965.001	583	836	680.999	795
ENSMUSG00000001056	Nhp2	2284	2388	1951	1668	1850	1891
ENSMUSG00000001062	Vps9d1	345.999	403	250	346.001	391.998	368.999
ENSMUSG00000001065	Zfp276	584	699	415	527.999	589.999	547.001
ENSMUSG00000001076	C1ql4	0	0	0	0	0	0
ENSMUSG00000001082	Mfsd10	833.998	835.001	659.001	844.001	839	749
ENSMUSG00000001089	Luzp1	2090.999	2555	1708.001	2731	2032	2171.001
ENSMUSG00000001095	Slc13a2	8	4	16	4	5	1
ENSMUSG00000001098	Kctd10	4309	4946.015	2532.837	4728.999	4763.999	4589.001
ENSMUSG00000001100	Poldip2	1520.001	1396	1300.001	1316	1195.001	1204
ENSMUSG00000001103	Sebox	0	0	0	1	0	0
ENSMUSG00000001105	Ift20	602	654	534	493	497	570
ENSMUSG00000001119	Col6a1	7971	6501	3511	7534	5363	10358
ENSMUSG00000001120	Pcbp3	12	24	8	30	22	25
ENSMUSG00000001123	Lgals9	3550	2496.999	3216	3095	4148	2944
ENSMUSG00000001127	Araf	1890	1783.002	1580	1900	1740.999	1804.001
ENSMUSG00000001128	Cfp	469	395	203	343	530	877
ENSMUSG00000001131	Timp1	2207	2001	896	1471	2249	3487
ENSMUSG00000001134	Uxt	160	191.999	177.003	173.965	212.004	163.989
ENSMUSG00000001138	Cnnm3	417	395	444.999	322.001	336.001	376
ENSMUSG00000001143	Lman2l	1015	955	906.999	880	936	969
ENSMUSG00000001150	Mcm3ap	790	985	833	912	860	786
ENSMUSG00000001151	Pcnt	702	752	617.999	666	795.001	870.999
ENSMUSG00000001155	Ftcd	0	0	0	0	0	0
ENSMUSG00000001156	Mxd1	2183.999	1212	598	1919	671	3318
ENSMUSG00000001157	Gmcl1	767	861	554	772	789	866
ENSMUSG00000001158	Snrnp27	563	625.001	438	602	532	616
ENSMUSG00000001166	Oas1c	208	204	262	282	173	183
ENSMUSG00000001168	Oas1h	0	0	0	0	0	0
ENSMUSG00000001173	Ocrl	675.001	644	436	710.998	759.001	710.999
ENSMUSG00000001175	Calm1	9095	8214	5537.999	6825.001	10059	10758
ENSMUSG00000001211	Agpat3	1695.001	1619	1545	1561	1302	1447.001
ENSMUSG00000001225	Slc26a3	0	0	0	0	3	0
ENSMUSG00000001227	Sema6b	233	206	113	203	222	368
ENSMUSG00000001228	Uhrf1	945	1231.999	885.99	950.001	1291.001	964.998
ENSMUSG00000001229	Dpp9	1318.001	1670	1112	1177.001	1244	1432
ENSMUSG00000001240	Ramp2	155.883	163.665	143	149.283	177.05	239.861
ENSMUSG00000001247	Lsr	4024.999	5952	2301.975	2569	5257.998	3130.999
ENSMUSG00000001248	Gramd1a	2063.999	1926.999	1866.999	1236	1597	1794.001
ENSMUSG00000001249	Hpn	31.999	59.999	25	14	42	31
ENSMUSG00000001260	Gabrg1	0	0	0	0	0	0
ENSMUSG00000001270	Ckb	310	323	170	296.999	299	437
ENSMUSG00000001280	Sp1	2046	3254	2413	2473	2667	2374
ENSMUSG00000001281	Itgb7	88	50	51	116	102	175
ENSMUSG00000001285	Myg1	443.529	682.387	541.665	346.879	524.442	472.379
ENSMUSG00000001288	Rarg	1176	1308	692.999	886	821	1223
ENSMUSG00000001289	Pfdn5	1566.47	1943.614	1510.334	1258.121	1386.558	1749.622
ENSMUSG00000001300	Efnb2	1676	1916	1217	1474	1353	1848.999
ENSMUSG00000001305	Rrp15	390	492	581	331	405	367
ENSMUSG00000001313	Rnd2	93	69	60	66	46	84
ENSMUSG00000001323	Srr	279.192	258.001	206	288	237	289
ENSMUSG00000001333	Sync	13	29	1	4	29	13
ENSMUSG00000001334	Fndc5	1	2	3	1	4	8
ENSMUSG00000001348	Acp5	2631	2266.001	1891.999	2287	2379.001	2835
ENSMUSG00000001349	Cnn1	134	84.999	31	44	179	244.001
ENSMUSG00000001366	Fbxo9	666.999	871	568.001	571.001	596	539
ENSMUSG00000001376	Vps50	900.999	1062	827.001	725	711	720.999
ENSMUSG00000001380	Hars	1373	1645	1222	1185	1482	1328
ENSMUSG00000001383	Zmat2	704	763	598	631	786	814
ENSMUSG00000001403	Ube2c	1011	1058	712	1187	1060	1032
ENSMUSG00000001415	Smg5	1921.002	2159	1638.999	1913.999	1724.001	1751.999
ENSMUSG00000001416	Cct3	3714	3772	3601.001	2970.999	3414	3533
ENSMUSG00000001418	Glmp	2611.001	2553.999	2123.307	2454.596	2056	2421
ENSMUSG00000001419	Mef2d	1654.001	1774.794	1652	1972	1492.692	2073
ENSMUSG00000001420	Tmem79	676.001	792	532.694	586.405	598	469
ENSMUSG00000001424	Snd1	4459	5909.001	5968	4429	4401	4829.999
ENSMUSG00000001435	Col18a1	11668	9697.999	9064.999	9833.001	10353	12162
ENSMUSG00000001436	Slc19a1	249	340	294	225.001	215	235.001
ENSMUSG00000001440	Kpnb1	7356	8345.025	7080	6250	8314.001	7640
ENSMUSG00000001441	Npepps	3310	2583.001	2368	3031.999	2668.999	3559.998
ENSMUSG00000001444	Tbx21	2	4	6	8	18	18
ENSMUSG00000001445	Mrpl10	1197	1465	1277	1144	1327	1122
ENSMUSG00000001467	Cyp51	882	1428	794	630	971	693
ENSMUSG00000001472	Tcf25	5584	7119	4221	4744	5869.998	5953
ENSMUSG00000001473	Tubb6	1568	1705	930	1872	2155	2761
ENSMUSG00000001482	Def8	350	575	300	374	489	440.001
ENSMUSG00000001493	Meox1	281	215	108	216	284	346
ENSMUSG00000001494	Sost	0	0	0	0	0	0
ENSMUSG00000001496	Nkx2-1	0	0	0	0	0	1
ENSMUSG00000001497	Pax9	836	915	864	887.999	825	774
ENSMUSG00000001504	Irx2	134	180.999	140	144	106	146
ENSMUSG00000001506	Col1a1	48402.689	31068	22778	40450.001	39950.999	69906
ENSMUSG00000001507	Itga3	7718	7295.999	5917	6735.001	7778	9371
ENSMUSG00000001508	Sgca	8	16	0	0	32	2
ENSMUSG00000001510	Dlx3	203	189	360	120	46	371
ENSMUSG00000001517	Foxm1	498.001	623.999	351	562.001	546	538.001
ENSMUSG00000001518	Itfg2	298.001	300.999	192.999	244.001	242	257
ENSMUSG00000001520	Nrip2	3	0	0	4	4	8
ENSMUSG00000001521	Tulp3	208	215	131	189	222	279
ENSMUSG00000001524	Gtf2h4	324	407.001	232	286.999	273	303
ENSMUSG00000001525	Tubb5	11447	10091	8162	10511	11037.001	12754
ENSMUSG00000001542	Ell2	1672	1350.001	1048	1793.999	1273.999	1516
ENSMUSG00000001552	Jup	4101	4659	4211	4167.999	4010.999	4529
ENSMUSG00000001555	Fkbp10	1250	1127	609	1059	1342.998	2206
ENSMUSG00000001558	Klhl10	1	1	1	4	2	2
ENSMUSG00000001566	Mnx1	0	0	0	0	0	0
ENSMUSG00000001569	Nom1	1469	1718	1487	1535	1298	1157
