gene_id	gene_name	DRX399598	DRX399599	DRX399600	DRX399601	DRX399602	DRX399603
ENSMUSG00000000001	Gnai3	71.700221	66.914344	60.089432	76.682761	85.187408	74.771844
ENSMUSG00000000003	Pbsn	0	0	0	0	0.397455	0
ENSMUSG00000000028	Cdc45	8.673589	12.958751	9.034448	11.011698	13.40567	12.669473
ENSMUSG00000000031	H19	28.592041	165.88462	1.020739	4.244987	128.389341	7.19856
ENSMUSG00000000037	Scml2	0	0.107868	0	0.019198	0.058737	0.102339
ENSMUSG00000000049	Apoh	0.652875	0.300944	0.260057	0.455952	0.093204	0.74504
ENSMUSG00000000056	Narf	18.974684	17.535785	15.667383	35.004857	15.315103	23.694574
ENSMUSG00000000058	Cav2	92.813715	110.344264	61.747755	143.50616	103.223833	95.727732
ENSMUSG00000000078	Klf6	93.699652	73.041674	60.4202	82.059615	114.434164	134.699642
ENSMUSG00000000085	Scmh1	94.128146	82.789199	91.017687	67.19126	74.241908	51.811091
ENSMUSG00000000088	Cox5a	514.252915	485.058591	439.930629	521.597704	476.127286	371.155746
ENSMUSG00000000093	Tbx2	2.27274	1.760431	1.016548	3.620183	1.647125	3.795219
ENSMUSG00000000094	Tbx4	0.05769	0.053383	0.061637	0	0.132133	0.057544
ENSMUSG00000000103	Zfy2	0	0	0	0	0	0
ENSMUSG00000000120	Ngfr	32.468969	100.612437	17.432389	88.921835	243.263023	76.59382
ENSMUSG00000000125	Wnt3	0	0	0	0	0	0
ENSMUSG00000000126	Wnt9a	5.992281	5.121467	3.434026	5.754742	10.894117	13.458028
ENSMUSG00000000127	Fer	13.974196	16.977279	15.370821	14.869907	15.688837	16.085103
ENSMUSG00000000131	Xpo6	42.797386	47.863096	35.40958	36.389594	39.770198	45.860417
ENSMUSG00000000134	Tfe3	30.115702	22.367802	22.528241	37.070665	31.963616	35.818654
ENSMUSG00000000142	Axin2	167.156502	175.700999	273.617983	320.253133	171.039265	200.941411
