Sample	Custom content: Biotype Counts_mqc-generalstats-custom_content_biotype_counts-percent_rRNA	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	Salmon_mqc-generalstats-salmon-library_types	Salmon_mqc-generalstats-salmon-compatible_fragment_ratio	Salmon_mqc-generalstats-salmon-strand_mapping_bias	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences
SRX22997881	0.0	1.17	25653229.0	92.06033702924582	24127221	ISR	1.0	8.755808037664582e-06	0.002775274	9963718.0	51306458.0	100.0	100.0	1.5362237634880194	51306458.0	61270176	61270176	100.0	88.93	23307209.0						
SRX22997881_1																					49.119367487938824	47.0	58.54947265825022	59	9.090909090909092	26208052.0
SRX22997881_2																					41.91294312595172	48.0	58.51799855250592	59	9.090909090909092	26208052.0
SRX22997882	1.2966701995526812e-05	1.15	36375988.0	91.55555512738006	34212348	ISR	1.0	7.428960954357062e-06	0.003411563	14603872.0	72751976.0	100.0	100.0	1.3749207306754114	72751976.0	87355848	87355848	100.0	87.14	32562260.0						
SRX22997882_1																					58.26819077585559	47.0	58.54123610945193	59	18.181818181818183	37367856.0
SRX22997882_2																					51.72629784501564	48.0	58.53495555110253	59	18.181818181818183	37367856.0
SRX22997883	0.0	1.17	30397355.0	92.69172904431863	28777546	ISR	1.0	9.66801654810185e-06	0.00332523	13006154.0	60794710.0	100.0	100.0	1.418988592921983	60794710.0	73800864	73800864	100.0	86.57	26878261.0						
SRX22997883_1																					60.318110764500446	47.0	58.53500469247605	59	18.181818181818183	31046509.0
SRX22997883_2																					55.909566612116095	48.0	58.54353508795465	59	18.181818181818183	31046509.0
SRX22997884	0.0	1.11	27636627.0	92.86539670596024	26169401	ISR	1.0	9.14630605183147e-06	0.003035689	12029958.0	55273254.0	100.0	100.0	1.4748471294995587	55273254.0	67303212	67303212	100.0	86.85	24474030.0						
SRX22997884_1																					58.11863431455228	48.0	58.546336688523006	59	18.181818181818183	28179927.0
SRX22997884_2																					52.12607095580271	49.0	58.536683824624525	59	18.181818181818183	28179927.0
SRX22997885	0.0	1.13	26991576.0	87.36264030164253	24172175	ISR	1.0	1.0327487292961702e-05	0.00361843	12926498.0	53983152.0	100.0	100.0	1.8132361000335808	53983152.0	66909650	66909650	100.0	86.84	24026690.0						
SRX22997885_1																					40.925404641414744	48.0	58.546499198482856	59	9.090909090909092	27668778.0
SRX22997885_2																					37.92873878285573	49.0	58.52304861457922	59	9.090909090909092	27668778.0
SRX22997886	6.556489021109961e-06	1.18	36314895.0	93.31226265000649	34516889	ISR	1.0	7.2793873397325396e-06	0.003328153	20842708.0	72629790.0	100.0	100.0	2.285836156210833	72629790.0	93472498	93472498	100.0	84.74	31346512.0						
SRX22997886_1																					67.91502859912121	48.0	58.54554530037416	59	18.181818181818183	36990732.0
SRX22997886_2																					64.90920717101879	49.0	58.5381048961129	59	18.181818181818183	36990732.0
