gene_id	gene_name	SRX22997881	SRX22997882	SRX22997883	SRX22997884	SRX22997885	SRX22997886
ENSG00000000003.16	TSPAN6	78.786181	34.150091	28.032813	28.504847	35.829663	31.720961
ENSG00000000005.6	TNMD	0.836056	0.810751	0.650105	0.769513	0.049481	0.261954
ENSG00000000419.14	DPM1	139.893307	42.861763	64.738104	45.566137	61.231892	47.650656
ENSG00000000457.14	SCYL3	8.137889	7.601111	3.159526	5.022417	8.719313	4.023653
ENSG00000000460.17	FIRRM	15.0653	3.163455	2.055651	2.047561	5.861445	1.303963
ENSG00000000938.13	FGR	3.376882	1.835528	1.746807	1.610585	5.54719	0.468135
ENSG00000000971.17	CFH	42.642908	25.394932	13.983571	28.421891	16.682869	7.19855
ENSG00000001036.14	FUCA2	75.028621	26.66903	28.665294	29.535513	39.934818	18.255618
ENSG00000001084.13	GCLC	29.354307	17.514354	9.084434	12.719466	27.779288	3.789028
ENSG00000001167.15	NFYA	21.281717	7.696876	4.429074	7.490084	10.687506	2.759262
ENSG00000001460.18	STPG1	3.671602	7.199068	3.640584	9.434112	5.439194	4.9572
ENSG00000001461.17	NIPAL3	7.78434	9.447202	5.624237	7.170926	13.069088	4.767592
ENSG00000001497.18	LAS1L	38.313364	8.717736	16.500936	10.187044	22.038198	5.824361
ENSG00000001561.7	ENPP4	14.264246	11.011463	6.081619	10.877975	8.183933	6.095944
ENSG00000001617.12	SEMA3F	9.746691	2.396688	3.231129	1.87501	16.423976	0.901511
ENSG00000001626.18	CFTR	45.253983	49.345608	49.35404	60.958726	38.764998	25.27064
ENSG00000001629.10	ANKIB1	14.408597	7.97964	5.318319	7.778904	14.542423	3.201767
ENSG00000001630.18	CYP51A1	53.962584	46.31817	26.359045	49.446745	55.6623	11.597218
ENSG00000001631.17	KRIT1	13.723205	7.423465	4.494967	6.118999	18.455645	2.660293
ENSG00000002016.18	RAD52	6.080698	8.198424	1.609072	2.675323	10.378328	2.947663
ENSG00000002079.15	MYH16	0.050394	0.023709	0.019583	0	0.031533	0
ENSG00000002330.14	BAD	35.354648	52.39148	37.038401	48.637943	23.156424	80.471624
ENSG00000002549.13	LAP3	65.217191	127.254126	37.956051	60.560497	80.292774	36.621101
ENSG00000002586.20	CD99	101.290638	54.139521	34.387886	46.783455	71.699943	35.217015
ENSG00000002587.10	HS3ST1	0.850141	0.682254	1.075393	1.56169	2.226562	0.624223
