Sample	custom_content_biotype_counts-percent_rRNA	qualimap_rnaseq-5_3_bias	qualimap_rnaseq-reads_aligned	samtools_stats-error_rate	samtools_stats-non_primary_alignments	samtools_stats-reads_mapped	samtools_stats-reads_mapped_percent	samtools_stats-reads_properly_paired_percent	samtools_stats-reads_MQ0_percent	samtools_stats-raw_total_sequences	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	star-total_reads	star-mapped	star-mapped_percent	star-uniquely_mapped	star-uniquely_mapped_percent	star-multimapped	fastqc_raw-percent_duplicates	fastqc_raw-percent_gc	fastqc_raw-avg_sequence_length	fastqc_raw-median_sequence_length	fastqc_raw-percent_fails	fastqc_raw-total_sequences	cutadapt-percent_trimmed	fastqc_trimmed-percent_duplicates	fastqc_trimmed-percent_gc	fastqc_trimmed-avg_sequence_length	fastqc_trimmed-median_sequence_length	fastqc_trimmed-percent_fails	fastqc_trimmed-total_sequences
SRX22997881	0.0	1.18	25.669396	0.2763727	10.055328	51.338974	100.0	99.99964549349973	1.5568971051116058	51.338974	61.394301999999996	61.394301999999996	100.0	26.152129	25.669577999999998	98.16000000000001	23.313648	89.15	2.35593													
SRX22997881_1																				49.119367487938824	47.0	58.54947265825022	59	9.090909090909092	26.208052	1.3078373037084032	49.033571659731955	46.0	57.871832729182394	58	9.090909090909092	26.152129
SRX22997881_2																				41.91294312595172	48.0	58.51799855250592	59	9.090909090909092	26.208052	1.4237658681748182	41.810720979598415	48.0	57.7899079650456	58	9.090909090909092	26.152129
SRX22997882	9.767832460184077e-06	1.16	36.376771	0.33993019999999996	14.697166	72.75392	100.0	99.99948044036665	1.3923937019476065	72.75392	87.45108599999999	87.45108599999999	100.0	37.297222999999995	36.377148999999996	97.53	32.560086999999996	87.3	3.817062													
SRX22997882_1																				58.26819077585559	47.0	58.54123610945193	59	18.181818181818183	37.367855999999996	1.183779933168394	58.20775763811369	47.0	57.90481599662259	58	18.181818181818183	37.297222999999995
SRX22997882_2																				51.72629784501564	48.0	58.53495555110253	59	18.181818181818183	37.367855999999996	1.4302715280470404	51.65631640449521	48.0	57.78461420572786	58	18.181818181818183	37.297222999999995
SRX22997883	0.0	1.16	30.362294	0.3316714	13.057801	60.724871	100.0	99.99953396360446	1.4367902074258831	60.724871	73.78267199999999	73.78267199999999	100.0	30.988291999999998	30.362576999999998	97.98	26.840813999999998	86.62	3.521763													
SRX22997883_1																				60.318110764500446	47.0	58.53500469247605	59	18.181818181818183	31.046509	1.0629486461991533	60.25967517199428	47.0	57.95059830983909	58	18.181818181818183	30.988291999999998
SRX22997883_2																				55.909566612116095	48.0	58.54353508795465	59	18.181818181818183	31.046509	1.405149481504365	55.84145399947462	48.0	57.81006045767221	58	18.181818181818183	30.988291999999998
SRX22997884	0.0	1.12	27.623312	0.30271529999999996	12.122346	55.246814	100.0	99.99965608876559	1.4969007986596294	55.246814	67.36916	67.36916	100.0	28.149714	27.623502	98.13	24.450563	86.86	3.172939													
SRX22997884_1																				58.11863431455228	48.0	58.546336688523006	59	18.181818181818183	28.179927	1.0772138890930882	58.0914645740283	47.0	57.93142672781684	58	18.181818181818183	28.149714
SRX22997884_2																				52.12607095580271	49.0	58.536683824624525	59	18.181818181818183	28.179927	1.3208456138620337	52.090806222661406	48.0	57.81293223796163	58	18.181818181818183	28.149714
SRX22997885	0.0	1.13	26.9896	0.3610612	12.995751	53.979422	100.0	99.99958873216538	1.8392119871161274	53.979422	66.975173	66.975173	100.0	27.649707	26.989822	97.61999999999999	24.021565	86.88	2.968257													
SRX22997885_1																				40.925404641414744	48.0	58.546499198482856	59	9.090909090909092	27.668778	1.1604660732500691	40.90370926929977	48.0	57.88210200563789	58	9.090909090909092	27.649707
SRX22997885_2																				37.92873878285573	49.0	58.52304861457922	59	9.090909090909092	27.668778	1.2584462282318325	37.90523598623331	49.0	57.814671598509165	58	9.090909090909092	27.649707
SRX22997886	6.583431681573366e-06	1.18	36.293412	0.33222019999999997	20.977563999999997	72.587082	100.0	99.99964456485522	2.3092084070826817	72.587082	93.564646	93.564646	100.0	36.908792	36.29367	98.33	31.314004999999998	84.84	4.979665													
SRX22997886_1																				67.91502859912121	48.0	58.54554530037416	59	18.181818181818183	36.990732	1.1650529630148903	67.86592097522464	47.0	57.94521286418694	58	18.181818181818183	36.908792
SRX22997886_2																				64.90920717101879	49.0	58.5381048961129	59	18.181818181818183	36.990732	1.414411924147651	64.85029706968902	48.0	57.821450482584204	58	18.181818181818183	36.908792
