gene_id	gene_name	SRX22997881	SRX22997882	SRX22997883	SRX22997884	SRX22997885	SRX22997886
ENSG00000000003.16	TSPAN6	4995.01	3170.92	2838.999	2112.648	2156.054	3921.275
ENSG00000000005.6	TNMD	17	26	22	23	1	12
ENSG00000000419.14	DPM1	2573.257	1218.354	1793.595	1032.512	1202.215	1784.949
ENSG00000000457.14	SCYL3	605	873	366.999	445	627.015	541.008
ENSG00000000460.17	FIRRM	669.001	225	134.001	121	284	103
ENSG00000000938.13	FGR	147	131.001	127.001	90	209.999	45
ENSG00000000971.17	CFH	2610.867	2188.77	1127.891	2203.603	1044.483	659.862
ENSG00000001036.14	FUCA2	3303.327	1771.575	1869.474	1600	1711	1631.382
ENSG00000001084.13	GCLC	1618.037	1314.751	849	884.219	1403.231	484
ENSG00000001167.15	NFYA	1610.772	893	592.841	642	852.861	486.98
ENSG00000001460.18	STPG1	142	480.007	230.001	505.999	226.152	381
ENSG00000001461.17	NIPAL3	696	1234.865	754.999	729.042	1145	774.005
ENSG00000001497.18	LAS1L	1756.567	632.868	1093.001	544.001	1063.348	484.001
ENSG00000001561.7	ENPP4	1265.011	1511	808.03	1166	721	1113
ENSG00000001617.12	SEMA3F	624.068	243	311	140	1032.001	108
ENSG00000001626.18	CFTR	4025.045	6772.845	6049.129	7478.766	3646.829	4071.7
ENSG00000001629.10	ANKIB1	1699.691	1214.801	924.999	984.001	1438	779
ENSG00000001630.18	CYP51A1	3064.49	3883.18	2280.443	3382.063	2864.636	1326.011
ENSG00000001631.17	KRIT1	904.252	762.864	466.238	513.113	1187.94	362.999
ENSG00000002016.18	RAD52	206.001	391	116	122.001	258	191.308
ENSG00000002079.15	MYH16	5.568	4	6	0	3.473	0
ENSG00000002330.14	BAD	508.991	1103.543	802	849	334	2318
ENSG00000002549.13	LAP3	2242.521	6762.107	2044.999	2557.079	2777.21	2609.335
ENSG00000002586.20	CD99	3580.157	3245.009	2143.827	2572.094	2895.162	2460
ENSG00000002587.10	HS3ST1	98	145	115	129	244	81
ENSG00000002726.21	AOC1	2384.383	16349.039	6551.903	10598.952	3281.148	12097.494
ENSG00000002745.13	WNT16	0	4	4	4	1	0
ENSG00000002746.15	HECW1	52	8	8	3	11	3
ENSG00000002822.16	MAD1L1	394	372.143	310.531	235.583	440.928	215.472
ENSG00000002834.19	LASP1	7861.849	12880.806	7122.993	9052.92	6727.842	5673.177
ENSG00000002919.15	SNX11	389.283	582.539	293	356.001	332.022	586.119
ENSG00000002933.9	TMEM176A	4031.101	2979.506	4378.976	2729.801	3612.961	4066.502
ENSG00000003056.8	M6PR	3550.49	2775.368	3152.999	2693.931	3083.37	3270.964
ENSG00000003096.15	KLHL13	421.999	198.001	428	133.065	288	161
ENSG00000003137.9	CYP26B1	25	20	81	67	49	1
ENSG00000003147.19	ICA1	1659.884	1268.454	962.999	898.999	1649.178	881.027
ENSG00000003249.15	DBNDD1	397	22	118	30	269.998	86
ENSG00000003393.16	ALS2	639.001	441.01	345.999	343.002	939.003	248.001
ENSG00000003400.16	CASP10	553.01	3395.862	892.096	1559	1754.638	973
ENSG00000003402.21	CFLAR	2315.227	4613.779	1837.204	2780.35	4208.307	1087.903
ENSG00000003436.16	TFPI	546.999	369.999	294.001	385.251	374	197.001
ENSG00000003509.16	NDUFAF7	507.998	285	335.001	231	384	244.001
ENSG00000003756.17	RBM5	1817	2880.279	1423.723	1632.975	3891.527	1380.003
ENSG00000003987.14	MTMR7	2.003	16.024	2	8	6	18
ENSG00000003989.18	SLC7A2	81	124	53	47	84	53
ENSG00000004059.11	ARF5	2900.703	2483.902	1961	2069.429	2299.012	2684.14
ENSG00000004139.14	SARM1	241.609	256	210	171	363.999	129.001
ENSG00000004142.12	POLDIP2	2195.659	1582.113	1526	1665.002	1493.247	1841
ENSG00000004399.13	PLXND1	654.573	427.825	467.001	421.031	1783.018	132
ENSG00000004455.18	AK2	3378.763	4223.128	3748.753	3923.583	3854.602	4785.108
ENSG00000004468.13	CD38	28	544.001	199	294	571.999	204
ENSG00000004478.8	FKBP4	2710.5	2403.109	2684.243	2518.944	2602.132	1859.252
ENSG00000004487.18	KDM1A	2532.099	1174.161	1655.823	1028.811	2728.861	1068.998
ENSG00000004534.15	RBM6	2113.417	1749.436	1365.031	1022.001	2325.359	630.999
ENSG00000004660.15	CAMKK1	184.001	73	193.001	82	211.001	37
ENSG00000004700.16	RECQL	1602.695	891.081	688	656.998	783.199	413.001
ENSG00000004766.17	VPS50	1006.905	1032.406	539.998	677.999	985.002	909.715
ENSG00000004776.13	HSPB6	158.39	114	266	161	56	13
ENSG00000004777.19	ARHGAP33	119	90	90	65	284	4
ENSG00000004779.10	NDUFAB1	1259.936	1575.932	1506.007	1642.695	1320.02	3411.994
ENSG00000004799.8	PDK4	303.999	2709.137	1024	2645.135	692.001	579
ENSG00000004809.14	SLC22A16	11.001	2	2	1	0	1
ENSG00000004838.14	ZMYND10	0	1	4	1	7	4
ENSG00000004846.17	ABCB5	1	7	6	11	1	1
ENSG00000004848.8	ARX	0	21	4	5	126	19
ENSG00000004864.14	SLC25A13	1160	1427.981	978.827	1311.999	859.783	785.001
ENSG00000004866.22	ST7	582.951	364.318	469	290.383	729.619	418.528
ENSG00000004897.12	CDC27	2036.539	1436.288	988.025	907.012	1358.999	739.999
ENSG00000004939.16	SLC4A1	0	5	0	0	1	0
ENSG00000004948.16	CALCR	2	4	1	1	3	5
ENSG00000004961.15	HCCS	924.058	1095.434	1014.174	832	638.317	1151
ENSG00000004975.12	DVL2	486.092	385.999	279	289.985	500.001	198.999
ENSG00000005001.10	PRSS22	171	29.001	69.001	3	549	84
ENSG00000005007.14	UPF1	2575.105	2227.838	2059.122	1645.358	2796.934	424.001
ENSG00000005020.13	SKAP2	1760.765	2123.152	1038.006	1587.972	1638.338	884
ENSG00000005022.6	SLC25A5	10782.404	23012.065	16813.588	17266.529	8881.589	33945.866
ENSG00000005059.16	MCUB	341.028	390.394	132	142	400.312	241
ENSG00000005073.6	HOXA11	532	55	147	104	394	28
ENSG00000005075.16	POLR2J	1325.575	1145.679	909.05	842.006	803.595	2595.984
ENSG00000005100.13	DHX33	759.012	310	365	286.075	712	86
ENSG00000005102.14	MEOX1	20	36	16	44	45	24
ENSG00000005108.17	THSD7A	56.013	25	22	36	55	11
ENSG00000005156.12	LIG3	1101.192	556.863	461.064	416.799	946.188	322
ENSG00000005175.10	RPAP3	1102.001	619.06	757.999	438	849.011	492.001
ENSG00000005187.12	ACSM3	149.014	991.43	412	835.087	576.998	1623.181
ENSG00000005189.20	REXO5	162	140.001	47	52	162	64.999
ENSG00000005194.15	CIAPIN1	1176.003	692.057	697.001	585	946.256	1056.001
ENSG00000005206.17	SPPL2B	1185.411	1384.027	987.06	744.998	1542.724	300
ENSG00000005238.20	ATOSB	399.001	911.558	818.999	1239.647	446.001	710.002
ENSG00000005243.10	COPZ2	130.003	33.001	74	37.001	65.988	72.001
ENSG00000005249.14	PRKAR2B	97	665.17	296	444.001	399.524	262
ENSG00000005302.19	MSL3	882.376	759.108	543.998	369.002	972.706	614.011
ENSG00000005339.15	CREBBP	1543.678	1595.181	1045	1162	1955.338	214
ENSG00000005379.17	TSPOAP1	305	131	70.001	104	209.999	36
ENSG00000005381.9	MPO	14	0	2	1	5	0
ENSG00000005421.9	PON1	1	2	22	8	109	3
ENSG00000005436.14	GCFC2	482.088	348.001	232	261.054	462	307
ENSG00000005448.17	WDR54	130	79	94	46.999	174	84
ENSG00000005469.12	CROT	192	413	571.003	821.055	115.001	185
ENSG00000005471.19	ABCB4	40.289	83.374	16.097	47.249	32.164	27.13
ENSG00000005483.23	KMT2E	1584.192	3247.687	1655	2558.014	2400.63	522
ENSG00000005486.17	RHBDD2	695.109	887.308	828	771.003	1140.61	1250.001
ENSG00000005513.11	SOX8	2	60	10	25	14	0
ENSG00000005700.15	IBTK	2653.473	2315.939	1829.993	2630.745	2559.314	1353.629
ENSG00000005801.18	ZNF195	1040.82	716.001	668.999	459.999	1303.652	553
ENSG00000005810.20	MYCBP2	2158.49	1533.34	1571.004	971.006	1889.677	430
ENSG00000005812.11	FBXL3	1615.022	1859.159	1429.001	1405.999	1336.001	1403.01
ENSG00000005844.19	ITGAL	95	429.96	102	193	602	36
